team_number,name,nickname,location,website
60,KUSD #20 Kingman High School / Science Foundation Arizona / Kingman Academy of Learning High School / Chrysler Foundation / Laron Incorporated / The Harley Davidson Foundation / Kingman Regional Medical Center / Purvis Industries / Brackett Aircraft / Potters, Inc / UniSource Energy / Telemessaging USA / Praxair / American Woodmark / Ambient Edge / West Coast Netting / Great West Towing / True Value / I Corp / Mohave Community College / Wash Me Car Wash &amp; Kingman High School &amp; Kingman Academy of,Bionic Bulldogs,"Kingman, AZ, USA",http://roboticsteam60.weebly.com/
61,Blackstone Valley Vocational Regional School District/EMC/QinetiQ North America/Harry&#39;s Pizza Whitinsville/PTC &amp; Blackstone Valley Regional Vocational Technical High School,BVT FIRST Robotics,"Upton, MA, USA",http://www.valleytech.k12.ma.us/Robotics/Team61_index.html
62,None,None,"None",None
63,GE Volunteers/PTR Group &amp; McDowell High School,The Red Barons,"Erie, PA, USA",http://www.redbarons63.com
64,General Motors - DPG/General Motors Desert Proving Ground &amp; Queen Creek High School,Gila Monsters,"Mesa, AZ, USA",http://www.gilamonster.org/
65,GM Powertrain &amp; Pontiac Northern High School,The Huskie Brigade,"Pontiac, MI, USA",http://www.huskiebrigade.com/
66,General Motors Corp / Soar Tech / Chrome Identity Group &amp; Ypsilanti Community HS STEMM Academy,The Flyers,"Ypsilanti, MI, USA",http://team66.com
67,General Motors Milford Proving Ground &amp; Huron Valley Schools,The HOT Team,"Milford, MI, USA",http://frcteam67.dyndns.org
68,Environmental Wood Solutions / General Motors Engineering Structural Development Laboratories / Continental Automotive Systems &amp; Brandon High School &amp; Holly High School,Truck Town Thunder,"Ortonville, MI, USA",http://trucktownthunder.com/
69,Bluefin Robotics &amp; Quincy Public Schools,HYPER,"Quincy, MA, USA",http://www.hyperonline.org/
70,General Motors/Chrysler Foundation/Onsite Aerospace Engineering Service/Kettering University/Grupo Antolin/Leoni/Patti Engineering &amp; Goodrich High School,More Martians,"Goodrich, MI, USA",http://www.70moremartians.com/
71,School City of Hammond/Caterpillar/City of Hammond &amp; School City of Hammond,Team Hammond,"Hammond, IN, USA",http://www.teamhammond71.com
73,ME Engineering/RIT FIRST Club/Ron Zarrella &amp; Edison STEM High School,The Illumination,"Rochester, NY, USA",http://www.edison73.com
74,Haworth Inc. / PTC / SpinDance &amp; Holland High School &amp; Black River High School,Team C.H.A.O.S.,"Holland, MI, USA",http://www.hollandchaos.com
75,J&amp;amp;J Consumer and Personal Products Worldwide - &amp; Hillsborough High School,RoboRaiders,"Hillsborough, NJ, USA",http://www.roboraiders.com/
77,None,None,"None",None
78,NDEP / Naval Undersea Warfare Center / Raytheon / BAE Systems / KVH &amp; Aquidneck Island Robotics 4-H Club,AIR Strike,"Newport County, RI, USA",http://www.air4h.org
79,Honeywell Aerospace/Career Technical Education Foundation, Inc./GE &amp; East Lake High School,Team Krunch,"Tarpon Springs, FL, USA",http://www.teamkrunch.com/
80,DeVry University &amp; Cortez High School,Robocolt,"Phoenix, AZ, USA",http://robocolt.jt.org
